机型,章节号,英文说明,说明,所属章号,章号说明
787,231000,speech communications,语音通讯,23, 通信系统
787,231100,high frequency communication system,高频通讯系统,23, 通信系统
787,231200,very high frequency communication system,甚高频通讯系统,23, 通信系统
787,231500,satellite communication system,卫星通讯系统,23, 通信系统
787,232000,data transmission and automatic calling,数据传输和自动呼叫,23, 通信系统
787,232100,selective calling (selcal) system,选择呼叫系统,23, 通信系统
787,232400,emergency locator transmitter (elt) syst,应急定位发射系统,23, 通信系统
787,232700,data communication management function,数据通讯管理功能,23, 通信系统
787,233000,"passenger address, entertainment, and co","旅客寻址,广播和娱乐(迁移至44-00-00)",23, 通信系统
787,234000,interphone [moved to 23-50-00],内话(迁移至23-50-00),23, 通信系统
787,235000,audio integrating,音频集成,23, 通信系统
787,235100,flight interphone system,飞行内话系统,23, 通信系统
787,235200,service interphone system,服务内话系统,23, 通信系统
787,236000,static discharging,静电放电,23, 通信系统
787,236100,static dischargers,静电放电刷,23, 通信系统
787,237000,audio and video monitoring,音频和视频监控,23, 通信系统
787,237100,cockpit voice recorder system,驾驶舱语音记录系统,23, 通信系统
787,237500,flight deck entry video surveillance sys,驾驶舱入口视频监控系统,23, 通信系统
787,238000,integrated automatic tuning,集成自动调谐,23, 通信系统
787,239000,data bus system communications,数据总线通讯,23, 通信系统
787,239100,arinc 629 multi-transmitter data bus,arinc 629多收发机数据总线,23, 通信系统
787,239200,cardfiles arinc 629 bus interface,arinc 629总线接口,23, 通信系统
787,239300,flight deck data bus,驾驶舱数据总线,23, 通信系统
787,239400,onboard local area network,机上本地网络,23, 通信系统
787,239500,wireless local area network,无线本地网络,23, 通信系统
787,310000,indicating/recording systems,指示/记录系统,31, 仪表系统
787,310900,system card files,系统卡文件,31, 仪表系统
787,311000,instrument and control panels,仪器和控制面板,31, 仪表系统
787,311100,pilot main panels,飞行员主面板,31, 仪表系统
787,311200,overhead panels,头顶板,31, 仪表系统
787,311300,sidewall panels,侧板,31, 仪表系统
787,311500,observer panels,观察员面板,31, 仪表系统
787,311700,attendant panels,乘务员面板,31, 仪表系统
787,312000,independent instruments,独立设备,31, 仪表系统
787,312500,clocks,时钟,31, 仪表系统
787,313000,recorders,记录器,31, 仪表系统
787,313100,flight recorder system,飞行数据记录系统,31, 仪表系统
787,313200,data load and record system,数据装载与记录系统,31, 仪表系统
787,313300,flight compartment printing,驾驶舱打印机,31, 仪表系统
787,314000,central computers,中央计算机,31, 仪表系统
787,314100,airplane information management system (,飞机信息管理系统,31, 仪表系统
787,315000,central warning systems,中央警告系统,31, 仪表系统
787,315100,caution and warning systems,警告与告警系统,31, 仪表系统
787,316000,central display systems,中央显示系统,31, 仪表系统
787,316100,primary display system,主显示系统,31, 仪表系统
787,317000,automatic data reporting systems,自动数据报告系统,31, 仪表系统
787,319100,test data recording systems,测试数据记录系统,31, 仪表系统
787,340000,navigation,导航,34, 导航系统
787,340100,navigation component configuration,导航设备构型,34, 导航系统
787,341000,flight environment data,飞行环境数据,34, 导航系统
787,341100,pitot-static system,"皮托管,静压管系统",34, 导航系统
787,341200,air data system,大气数据系统,34, 导航系统
787,341300,air data standby instruments,大气数据备用仪表,34, 导航系统
787,341600,altitude alert system,高度警告系统,34, 导航系统
787,342000,attitude and direction, ,34, 导航系统
787,342100,earth reference system,地球基准系统,34, 导航系统
787,342200,inertial reference system,惯性基准系统,34, 导航系统
787,342300,standby magnetic compass system,备用磁罗盘,34, 导航系统
787,342400,integrated standby flight display system,综合备用飞行显示系统,34, 导航系统
787,343000,landing and taxiing aids,辅助着陆与滑行系统,34, 导航系统
787,343100,integrated navigation radio system,综合导航无线电系统,34, 导航系统
787,343300,low range radio altimeter system,短距无线电高度表系统,34, 导航系统
787,343800,ground-maneuvering camera system,地面景观摄像系统,34, 导航系统
787,344000,independent position determining,独立位置决策,34, 导航系统
787,344200,integrated surveillance system (iss),综合监控系统,34, 导航系统
787,345000,dependent position determining,独立位置决策,34, 导航系统
787,345500,distance measuring equipment system,测距设备系统,34, 导航系统
787,345700,automatic direction finder system,自动测向系统,34, 导航系统
787,346000,flight management computing,飞行管理计算机,34, 导航系统
787,346100,flight management function,飞行管理功能,34, 导航系统
787,420000,integrated modular avionics,综合模块化航电设备,42, 综合模块化航电设备
787,421000,common core system,通用核心系统,42, 综合模块化航电设备
787,422000,core system,核心系统,42, 综合模块化航电设备
787,422100,common core system,通用核心系统,42, 综合模块化航电设备
787,423000,network components,网络部件,42, 综合模块化航电设备
787,423100,ccs network components,通用核心系统网络部件,42, 综合模块化航电设备
787,424000,concentrators,采集器,42, 综合模块化航电设备
787,424100,ccs data concentrators,通用核心系统数据采集器,42, 综合模块化航电设备
787,424200,main engine data concentrator system,主发动机数据采集器,42, 综合模块化航电设备
787,440000,cabin systems,客舱系统,44, 客舱系统
787,441000,cabin core system,客舱核心系统,44, 客舱系统
787,441100,cabin services system,客舱服务系统,44, 客舱系统
787,441200,passenger address system,客舱寻址系统,44, 客舱系统
787,441300,passenger service system,客舱服务系统,44, 客舱系统
787,441400,cabin interphone system,客舱内话系统,44, 客舱系统
787,442000,inflight entertainment system,空中娱乐系统,44, 客舱系统
787,442100,passenger entertainment system,客舱娱乐系统,44, 客舱系统
787,442200,pc power system,pc电源系统,44, 客舱系统
787,442300,passenger entertainment system (pes) - v,客舱娱乐系统-视频,44, 客舱系统
787,442400,passenger entertainment system (pes) - a,客舱娱乐系统-音频,44, 客舱系统
787,442500,in-flight entertainment system ex2, ,44, 客舱系统
787,442600,in-flight entertainment system i8000,空中娱乐系统i8000,44, 客舱系统
787,443000,external communication system,外部通讯系统,44, 客舱系统
787,443100,cellular communication system,蜂窝通讯系统,44, 客舱系统
787,443300,crew communication,机组通讯,44, 客舱系统
787,444000,cabin mass memory system,客舱大容量存储器,44, 客舱系统
787,444100,cabin printer system,客舱打印机,44, 客舱系统
787,444300,ground crew call system,地面机组呼叫系统,44, 客舱系统
787,445000,cabin monitoring system,客舱监视系统,44, 客舱系统
787,445100,video surveillance system,视频监控系统,44, 客舱系统
787,446000,miscellaneous cabin system,客舱杂项系统,44, 客舱系统
787,450000,central maintenance system (cms),中央维护系统,45, 中央维护系统
787,450100,cms/aircraft general, ,45, 中央维护系统
787,450200,data load function,数据装载功能,45, 中央维护系统
787,451000,health management,健康管理,45, 中央维护系统
787,451100,central maintenance computing function,中央维护计算机,45, 中央维护系统
787,451200,airplane condition monitoring function,飞机状态监控,45, 中央维护系统
787,451300,onboard data load function,机载数据装载,45, 中央维护系统
787,452000,cms/airframe systems,cms/机身系统,45, 中央维护系统
787,454500,central maintenance system,中央维护系统,45, 中央维护系统
787,455000,cms/structures,cms/结构,45, 中央维护系统
787,457000,cms/power plant,cms/动力,45, 中央维护系统
787,460000,information systems,信息系统,46, 信息系统
787,461000,airplane general information systems,飞机总体信息系统,46, 信息系统
787,461100,crew information system,机组信息系统,46, 信息系统
787,461200,core network system,核心网络系统,46, 信息系统
787,461300,onboard boeing electronic distribution s,机上波音电子分配系统,46, 信息系统
787,461500,efb class 2,2类efb,46, 信息系统
787,462000,flight deck information systems,驾驶舱信息系统,46, 信息系统
787,463000,maintenance information systems,维修信息系统,46, 信息系统
787,464000,passenger cabin information systems,客舱信息系统,46, 信息系统
787,465000,miscellaneous cabin information systems,客舱杂项信息系统,46, 信息系统
787,443500,broadband communication,宽带通信,44, 客舱系统
787,527115,door indication system - cargo and acces, ,52, 舱门
